Merge Sort - 100,Quick Sort - 100,Merge Sort Async - 100,Quick Sort Async - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort Async - 1000,Quick Sort Async - 1000,Merge Sort - 10000,Quick Sort - 10000,Merge Sort Async - 10000,Quick Sort Async - 10000
,,,,137.833µs,89.875µs,83.333µs,100.125µs,117.625µs,74.875µs,76.833µs,46.541µs
,,,,107.625µs,83.417µs,90.042µs,86.75µs,130.25µs,89.042µs,53.084µs,61.292µs
,,,,112µs,70.375µs,119.5µs,84.458µs,131.959µs,72.167µs,49.209µs,47.875µs
,,,,96.375µs,137.625µs,120.125µs,81.542µs,86.833µs,68.958µs,52.584µs,63.542µs
,,,,123.5µs,76.583µs,88.666µs,83.75µs,104.167µs,67.667µs,58.083µs,61.666µs
,,,,89.959µs,84.083µs,99.333µs,86.041µs,102.375µs,62.291µs,59.792µs,54.208µs
,,,,102.291µs,95.625µs,104.417µs,110.5µs,108.791µs,85.334µs,53.75µs,53.083µs
,,,,120.875µs,70.667µs,79.833µs,79.958µs,140.125µs,77.667µs,59.875µs,45.542µs
,,,,149.333µs,101.292µs,76.5µs,81.208µs,135.334µs,75.25µs,52.958µs,73.458µs
,,,,109.625µs,81.291µs,72.083µs,69.333µs,102.708µs,70.958µs,46.708µs,49.292µs
,,,,100.25µs,94.083µs,89.708µs,96.959µs,170.167µs,82.333µs,56.083µs,58.959µs
,,,,124.959µs,89.041µs,84µs,77.834µs,179.041µs,70.708µs,54.625µs,43.042µs
,,,,104.708µs,75.5µs,82.292µs,75.625µs,174.541µs,93.166µs,59.833µs,52µs
,,,,102.333µs,73.542µs,120.75µs,106.5µs,142.708µs,57.209µs,58.667µs,48.458µs
,,,,95.166µs,94.542µs,70.917µs,95.708µs,159.709µs,57.458µs,51.083µs,52.625µs
,,,,103µs,78.375µs,67.125µs,122.708µs,161.208µs,61.375µs,54.25µs,65.333µs
,,,,94.75µs,63.333µs,111.167µs,102.833µs,125.875µs,57.959µs,49.667µs,45.542µs
,,,,121.083µs,108.25µs,109.083µs,78.75µs,132.208µs,63.25µs,84.959µs,41.625µs
,,,,107.875µs,91.125µs,79.333µs,87.792µs,132.875µs,86.084µs,60.833µs,50.125µs
,,,,98.917µs,78.916µs,85.334µs,103.458µs,178.333µs,84.833µs,51.334µs,55.167µs
,,,,108.292µs,93.625µs,114.708µs,74.5µs,145.375µs,75.667µs,57.584µs,42.291µs
,,,,88.625µs,84.208µs,119.625µs,103.041µs,685.5µs,79.375µs,50.458µs,41.75µs
,,,,111.25µs,96.167µs,98.041µs,87.916µs,173.333µs,80.791µs,70.042µs,51.959µs
