Merge Sort - 10,Quick Sort - 10,Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000
,,,,152.876µs,126.261µs
,,,,154.84µs,144.344µs
,,,,145.796µs,132.085µs
,,,,143.8µs,119.433µs
,,,,131.068µs,116.054µs
,,,,173.669µs,128.008µs
,,,,137.559µs,124.517µs
,,,,174.917µs,124.032µs
,,,,159.725µs,143.519µs
,,,,168.518µs,147.795µs
,,,,133.985µs,126.502µs
,,,,152.129µs,139.44µs
,,,,159.995µs,118.954µs
,,,,167.255µs,125.956µs
,,,,142.266µs,122.646µs
,,,,142.301µs,127.428µs
,,,,124.907µs,115.949µs
,,,,134.216µs,103.533µs
,,,,128.199µs,117.87µs
,,,,140.85µs,108.869µs
,,,,186.332µs,106.395µs
,,,,136.764µs,107.349µs
,,,,143.001µs,101.506µs
,,,,136.874µs,108.872µs
,,,,149.21µs,122.952µs
,,,,108.753µs,124.51µs
,,,,126.85µs,117.8µs
,,,,126.981µs,110.431µs
,,,,136.981µs,111.904µs
,,,,137.44µs,125.445µs
,,,,122.846µs,115.918µs
,,,,137.817µs,105.812µs
,,,,124.474µs,125.335µs
,,,,150.71µs,107.437µs
,,,,131.619µs,111.879µs
,,,,149.548µs,108.205µs
,,,,156.053µs,117.928µs
,,,,141.847µs,107.223µs
,,,,118.987µs,117.807µs
,,,,113.086µs,126.204µs
,,,,121.706µs,141.942µs
,,,,107.943µs,120.901µs
,,,,127.351µs,112.729µs
,,,,122.364µs,163.544µs
,,,,114.662µs,131.461µs
,,,,135.927µs,141.78µs
,,,,128.358µs,110.955µs
,,,,140.402µs,139.148µs
,,,,122.297µs,163.976µs
,,,,129.796µs,145.992µs
,,,,125.455µs,136.593µs
,,,,103.373µs,151.95µs
,,,,125.963µs,122.246µs
,,,,115.991µs,143.666µs
,,,,107.337µs,143.548µs
,,,,127.146µs,121.933µs
,,,,123.828µs,127.483µs
,,,,118.635µs,263.889µs
,,,,114.073µs,205.461µs
,,,,104.012µs,235.232µs
,,,,107.62µs,179.45µs
,,,,120.863µs,188.087µs
,,,,117.211µs,925.09µs
,,,,101.412µs,312.209µs
,,,,132.636µs,351.646µs
,,,,115.746µs,215.217µs
,,,,119.01µs,191.347µs
,,,,148.795µs,302.408µs
,,,,132.412µs,197.012µs
,,,,140.943µs,190.731µs
,,,,404.263µs,171.89µs
,,,,154.793µs,176.84µs
,,,,173.343µs,136.704µs
,,,,232.676µs,125.946µs
,,,,216.381µs,145.517µs
,,,,169.577µs,136.083µs
,,,,151.54µs,140.883µs
,,,,151.099µs,145.317µs
,,,,163.525µs,121.576µs
,,,,150.649µs,135.246µs
,,,,148.646µs,147.042µs
,,,,144.881µs,120.463µs
,,,,162.465µs,133.199µs
,,,,165.038µs,135.546µs
,,,,183.026µs,127.283µs
,,,,160.162µs,114.269µs
,,,,193.171µs,126.279µs
,,,,200.322µs,141.054µs
,,,,298.486µs,133.646µs
,,,,183.282µs,124.735µs
,,,,142.352µs,128.416µs
,,,,119.935µs,131.801µs
,,,,221.814µs,120.607µs
,,,,182.573µs,159.967µs
,,,,135.335µs,120.565µs
,,,,190.909µs,121.704µs
,,,,141.095µs,171.51µs
,,,,125.496µs,132.191µs
,,,,150.762µs,125.832µs
,,,,168.088µs,132.058µs
,,,,232.232µs,122.762µs
,,,,145.828µs,118.811µs
,,,,172.784µs,199.276µs
,,,,170.878µs,133.85µs
,,,,152.515µs,128.848µs
,,,,128.683µs,137.344µs
,,,,143.292µs,299.559µs
,,,,141.571µs,201.216µs
,,,,156.578µs,195.923µs
,,,,122.473µs,182.102µs
,,,,127.326µs,183.154µs
,,,,129.293µs,135.585µs
,,,,142.712µs,122.75µs
,,,,144.71µs,137.743µs
,,,,124.285µs,101.498µs
